County,nbr_sing_household,nbr_household,percent_single,Rural,Population,Math,Read,Grad_Rate,poor_health,poor_sleep,Cost_Burden,Uninsured_health,Physicians,food_Insecure,Life_Expectancy
Texas,2371830,7236743,33,3847522,28701845,3.1,2.9,95,5971885,9386483,1240300,4704625,17239,4217470,79.1
Anderson,3629,11168,32,39204,58057,2.8,2.8,97,11453,20464,1486,7161,20,10520,73.4
Andrews,1150,5519,21,2440,18128,2.6,2.8,96,3599,5755,339,3486,9,1480,77.5
Angelina,8663,22462,39,37383,87092,3,2.8,92,18203,30307,3577,15499,52,16570,76.1
Aransas,1669,4653,36,6313,23792,2.7,2.5,89,4889,7208,1182,4078,9,4100,77.9
Archer,446,1888,24,8057,8786,3.2,3.3,99,1220,2546,241,1341,5,1230,78.8
Armstrong,100,396,25,1901,1892,3.3,3.2,100,232,543,65,254,0,250,77.4
Atascosa,4995,13486,37,27266,50310,2.8,2.5,93,11913,16618,1182,7924,8,4210,78.3
Austin,1796,7060,25,18853,29989,2.8,2.9,97,5133,9041,989,4882,6,4300,78.9
Bailey,747,2024,37,2060,7027,2.7,2.7,100,1897,2344,111,1623,3,800,77.7
Bandera,1333,3676,36,20485,22824,2.8,2.7,92,3865,6828,616,3023,6,3090,79.6
Bastrop,6232,21000,30,47360,86976,2.8,2.6,94,17694,28577,2371,15267,23,10040,77.6
Baylor,129,779,17,3726,3582,3.4,3.2,98,614,1074,71,510,5,590,73.7
Bee,2229,6891,32,13693,32587,2.8,2.8,89,7773,11123,1268,3956,7,4540,76.5
Bell,31684,94531,34,47113,355642,3.1,2.9,75,72158,129043,14406,40118,284,62960,78.4
Bexar,182092,495245,37,77835,1986049,3,2.8,87,446703,672071,88496,285140,1450,216220,78.9
Blanco,662,1991,33,10497,11702,3.2,3,97,1909,3385,427,1896,5,1450,78.8
Borden,24,169,14,641,648,2.9,2.9,100,82,185,2,84,0,80,79
Bosque,1226,3892,32,14791,18691,3.2,2.9,97,3288,5493,646,3063,10,2790,76.3
Bowie,9525,22167,43,32791,94324,3.2,2.9,96,17823,33839,4050,11910,63,20180,75.6
Brazoria,21756,93852,23,70552,370200,3.3,3,94,68029,115615,10936,44276,234,48610,79.1
Brazos,15227,44860,34,23506,226758,3.2,2.9,86,40756,76393,17587,32046,190,43590,81.3
Brewster,412,1653,25,3219,9267,2.8,2.7,99,1997,2776,412,1435,6,1130,80.9
Briscoe,114,277,41,1637,1516,3.1,2.8,100,293,462,26,358,0,210,79
Brooks,1078,1845,58,2294,7114,2.5,2.2,90,2719,2533,342,971,1,1070,77.1
Brown,2294,8353,27,15395,37924,3.1,3,97,7006,12803,1247,5491,19,5980,75.7
Burleson,1172,3953,30,13175,18389,3,2.9,94,3241,5597,535,2834,7,2840,76.7
Burnet,3114,9824,32,23800,47542,3.1,2.9,93,7862,14246,1573,7566,22,6100,79.2
Caldwell,3355,9742,34,16099,43247,2.7,2.5,90,9972,14571,1683,7560,12,5070,77.4
Calhoun,2053,5363,38,9564,21561,3.4,3.2,93,4517,7033,626,3430,11,2720,78.4
Callahan,714,3200,22,9776,13994,2.9,2.8,94,2347,4079,541,2065,1,2240,76.3
Cameron,48493,129906,37,34207,423908,3.2,2.9,90,132923,146194,17459,104621,207,47770,80.9
Camp,1077,3388,32,7624,13033,3.3,3.1,98,2687,4270,656,2214,11,2320,75.5
Carson,387,1511,26,5885,6005,3.5,2.9,99,786,1731,80,837,1,770,78.1
Cass,2401,6798,35,22547,30119,3.1,3,97,5345,9747,1031,3736,8,6340,76
Castro,545,2274,24,3689,7665,3.1,2.7,97,1852,2514,169,1896,1,750,79.8
Chambers,3278,11282,29,16046,42454,3.5,3.1,98,7265,13576,1546,6003,4,5950,77.9
Cherokee,4435,13073,34,32057,52592,3.1,3,91,11250,18041,1808,8753,21,9110,75.7
Childress,390,1348,29,2334,7291,3.4,3.3,94,1466,2362,234,929,10,1280,76
Clay,540,2150,25,8021,10456,3.3,3.2,97,1713,3195,318,1518,4,1670,78
Cochran,260,791,33,3127,2836,2.9,2.9,98,837,957,46,665,1,380,75.7
Coke,214,616,35,3320,3370,2.5,2.7,98,623,977,115,484,1,510,76.7
Coleman,611,1817,34,4585,8397,3,2.6,91,1700,2518,346,1456,5,1500,74.7
Collin,46914,250018,19,41016,1005146,3.6,3.4,97,125970,324257,35969,104680,918,130090,82.6
Collingsworth,233,726,32,3057,2962,2.9,2.8,100,600,951,120,790,1,400,74.8
Colorado,1748,4887,36,13070,21217,2.8,2.6,80,3970,6553,278,3667,10,2850,77.9
Comal,7506,30760,24,50055,148373,3.4,3.2,94,22536,44952,4846,16543,98,15260,79.9
Comanche,808,2998,27,9986,13534,3.1,2.9,99,2655,4022,444,2580,6,1970,77.3
Concho,140,541,26,4087,4276,2.1,2.1,93,811,1397,77,425,1,350,81.3
Cooke,2783,9105,31,22691,40574,3,2.9,95,6560,12330,1133,6663,13,6080,77.6
Coryell,4753,17549,27,14643,74808,3.1,3,95,13785,24462,2249,8418,17,13890,77.5
Cottle,265,545,49,1505,1389,3,3,80,304,438,41,285,0,270,79
Crane,398,1506,26,468,4794,3.2,2.6,95,968,1483,82,839,1,410,79
Crockett,366,984,37,846,3499,3,2.8,95,761,1090,129,652,1,380,75.4
Crosby,752,1591,47,6059,5779,2.6,2.4,94,1473,1870,144,1057,2,750,75.1
Culberson,309,536,58,2398,2204,3.2,3,96,775,732,76,457,1,240,81
Dallam,285,2281,12,1578,7200,2.9,2.6,99,1529,2293,189,1927,5,900,78.7
Dallas,267761,683810,39,16300,2637772,3,2.8,84,509327,865481,139743,530742,1818,438830,78.9
Dawson,1031,2965,35,2254,12619,2.6,2.4,99,3212,4117,493,2023,3,1590,75.7
Deaf Smith,1857,5865,32,3431,18760,3.1,2.9,88,4772,6101,462,4095,2,1650,77.8
Delta,403,1218,33,5231,5349,2.9,2.6,98,963,1650,253,758,1,1000,73
Denton,45116,203085,22,45759,859064,3.3,3.1,95,123953,251871,32496,96650,530,111860,81.8
DeWitt,1305,4513,29,9973,20187,3.1,2.9,97,4411,6373,639,2629,11,2930,76.5
Dickens,108,475,23,2444,2249,3.2,3,96,468,707,72,341,1,340,78.1
Dimmit,1359,3195,43,3946,10308,2.4,2.4,79,3540,3444,375,1656,4,1130,79.6
Donley,268,686,39,3677,3319,3.1,3.2,98,553,980,143,475,1,580,75.2
Duval,1433,2866,50,7899,11212,3,3,86,3678,3766,281,1719,1,1190,74.9
Eastland,867,3731,23,11214,18322,3,2.9,96,3398,5392,373,3045,6,3110,76.5
Ector,16097,47186,34,12966,162124,2.6,2.5,81,33891,51023,5162,29371,93,15320,75.3
Edwards,167,347,48,2002,1928,2.9,2.8,98,414,568,59,345,0,130,76.9
Ellis,10084,45177,22,47838,179436,3.2,3,93,28581,60314,5483,27461,70,22320,78.3
El Paso,86787,231416,38,17409,840758,3.2,3,87,225358,306354,35537,163112,405,79860,80.5
Erath,2283,8625,26,17551,42446,3.4,3.1,62,8103,13035,2233,7613,23,7250,78.3
Falls,1175,3671,32,12034,17335,2.3,2.4,97,4010,6021,681,2739,2,3520,77
Fannin,1793,7197,25,23920,35286,3.1,2.9,98,6091,11172,1114,5608,7,5670,74.4
Fayette,1174,5162,23,16485,25349,3.2,3,97,4131,7481,707,3908,9,3250,79.5
Fisher,188,807,23,3974,3839,2.6,3,100,714,1175,87,612,1,560,81.2
Floyd,509,1579,32,3437,5837,2.8,2.2,95,1478,1906,181,1113,4,690,79.1
Foard,69,262,26,1336,1200,3,3,100,193,356,19,218,0,170,79
Fort Bend,43374,204770,21,32405,787858,3.5,3.3,94,121121,255958,25022,92077,650,98800,83
Franklin,642,2603,25,7331,10766,3.3,2.9,97,1790,3283,369,1607,3,1800,77.4
Freestone,1334,4534,29,13173,19808,2.8,2.8,96,3862,6294,652,2844,6,3820,77.7
Frio,1871,4181,45,3819,19816,2.7,2.5,87,5618,6819,407,3068,4,1680,78
Gaines,1878,7238,26,11049,20901,3,2.7,97,4181,6802,481,6324,5,2070,79.1
Galveston,23458,79494,30,17915,337890,3.2,3,92,68977,117231,14670,43845,245,53270,77.7
Garza,245,988,25,1443,6578,2.4,2,84,1310,2101,80,921,1,710,79.6
Gillespie,1262,5142,25,13326,26804,3.2,3.1,92,4510,7839,1228,4483,31,3380,79.9
Glasscock,52,338,15,1226,1388,4,3.3,100,279,428,13,252,0,150,79
Goliad,548,1607,34,7210,7584,3,2.6,98,1452,2297,146,913,0,1000,77.2
Gonzales,1695,5547,31,12930,20826,2.9,2.7,91,5014,6826,508,4315,8,2520,77.2
Gray,1619,5753,28,4369,21895,2.8,2.6,95,4258,7053,816,4043,9,3470,74.6
Grayson,9788,30256,32,52159,133991,3.2,3,93,22591,42094,5202,20827,62,21380,76.2
Gregg,12175,31671,38,16266,123707,3,2.8,93,24233,41226,6036,21633,107,24920,75.7
Grimes,2472,6194,40,18331,28360,3.1,2.7,95,5845,9160,706,4731,6,4810,76.7
Guadalupe,11340,39678,29,34412,163694,3.2,3.1,95,29108,50714,4600,18945,56,17330,79.7
Hale,3028,9215,33,8379,33830,2.9,2.5,91,8691,10756,1121,6209,10,4510,77.2
Hall,307,712,43,3353,3028,2.8,2.7,97,850,1003,104,624,1,570,78
Hamilton,564,1703,33,5483,8484,3.1,2.9,93,1474,2455,272,1522,8,1350,75.6
Hansford,324,1631,20,2264,5463,3.2,3,98,1316,1727,134,1214,2,640,77.9
Hardeman,143,915,16,4139,3922,2.9,2.8,100,737,1272,94,834,4,630,76.6
Hardin,3697,13935,27,28163,57207,3.3,3.1,96,8414,17291,1915,6687,11,9750,75.7
Harris,445154,1231476,36,49653,4698619,3,2.8,87,885812,1593969,240521,908742,2742,739120,79.6
Harrison,5526,16865,33,36789,66726,3,2.8,93,12292,22542,2485,9427,19,13210,76.3
Hartley,134,1235,11,3471,5619,2.9,2.7,97,857,1706,86,793,,770,80.8
Haskell,504,1118,45,2809,5813,2.7,2.6,95,1214,1799,144,1002,3,910,76.7
Hays,11702,46926,25,49822,222631,3,2.9,88,40119,66437,11094,30839,93,25740,80.4
Hemphill,280,1302,22,1026,3825,3.3,3.1,98,670,1171,120,825,4,440,77.6
Henderson,4848,17367,28,47206,82299,3.2,2.9,96,14900,26805,3115,13186,25,14200,74.7
Hidalgo,104215,281541,37,39813,865939,3.1,2.8,90,264110,288446,34287,233591,387,95430,82.1
Hill,2470,8202,30,26761,36354,2.8,2.7,97,6825,11119,1221,5898,8,5790,76.4
Hockley,1770,6036,29,9139,22980,2.9,2.8,88,5040,7453,550,3912,13,2770,76.6
Hood,2392,11826,20,16811,60537,3.1,2.9,94,9300,17911,2153,7653,31,8480,78.4
Hopkins,2885,8966,32,20965,36810,3,2.8,95,7191,11762,1375,6529,9,6240,76.7
Houston,1831,4278,43,17440,23169,2.7,2.7,96,5158,7799,1279,3112,4,5160,76.2
Howard,2931,7952,37,7025,36459,2.7,2.6,90,7593,12594,1196,4819,11,4770,74.3
Hudspeth,345,980,35,3476,4795,2.8,3.2,98,1643,1637,108,1025,0,500,85.7
Hunt,6411,21955,29,48776,96493,3,2.8,94,17798,30538,4338,14374,27,16200,76.1
Hutchinson,2033,5597,36,4998,21198,3,2.7,95,3875,6519,544,3598,7,3460,75.8
Irion,111,356,31,1599,1522,2.7,2.7,100,243,443,91,181,0,210,79
Jack,493,1866,26,4813,8843,3.1,2.8,96,1531,2836,216,1537,4,1410,75.5
Jackson,813,3769,22,8701,14874,3.1,2.9,98,2777,4640,541,2353,1,2060,76.9
Jasper,3263,8540,38,27920,35872,2.9,2.8,95,6332,11496,862,4847,14,7520,75.4
Jeff Davis,19,373,5,2342,2252,2.7,2.7,100,486,676,54,423,1,220,89.7
Jefferson,25496,59946,43,21196,255001,2.8,2.7,88,53336,89747,11150,41367,145,58010,75.9
Jim Hogg,765,1659,46,922,5248,2.4,2.4,96,1638,1741,184,807,1,470,77
Jim Wells,4321,11502,38,16370,40822,3,2.7,86,11985,13328,1283,6936,11,4420,76.1
Johnson,10605,42417,25,57165,171361,3.1,3,95,28058,51336,5089,25349,77,22440,77.1
Jones,983,3329,30,17202,19817,3,3,98,3922,6706,445,2318,6,3350,77
Karnes,1189,3054,39,5691,15650,3,2.6,93,3584,5299,352,1844,4,1790,77.6
Kaufman,8870,32809,27,50453,128622,3.1,3,96,21743,40711,4119,18249,39,16950,76.9
Kendall,2068,9750,21,19431,45641,3.3,3.2,98,6605,13619,1821,5405,38,4560,81.2
Kenedy,10,167,6,416,442,2.7,2.7,95,134,145,5,77,0,70,79
Kent,19,157,12,808,726,2.7,2.7,100,122,206,29,100,0,100,79
Kerr,3811,9801,39,20397,52405,3.2,2.9,94,9585,15086,1861,8108,44,7110,78.3
Kimble,378,889,43,2041,4362,3,2.8,100,839,1288,240,672,3,710,75.8
King,23,61,38,286,277,2.7,2.7,100,48,83,5,60,0,40,79
Kinney,129,655,20,736,3767,3,3.3,96,908,1199,87,555,0,320,81.9
Kleberg,3156,7659,41,6050,31129,3,2.8,89,8695,10314,1602,5023,14,4100,75.4
Knox,248,1021,24,3719,3653,3,3,99,716,1131,52,728,1,500,73.8
Lamar,4875,11772,41,23444,49728,3,2.8,96,9726,16987,2451,7731,25,9970,75.5
Lamb,1670,3681,45,8063,13158,3,2.8,98,3435,4213,405,2729,3,1730,76
Lampasas,1440,4644,31,13433,21229,3,2.8,99,3533,6458,816,3415,9,2960,78.9
La Salle,474,1621,29,3192,7531,2.6,2.8,88,2084,2501,214,811,0,370,77.4
Lavaca,1252,4704,27,15664,20110,3.2,2.9,99,3249,5985,527,2793,14,2920,78.9
Lee,1464,3603,41,11582,17144,2.6,2.6,95,3079,5275,801,3023,4,2490,77.4
Leon,1416,3895,36,16801,17270,3,2.8,97,3133,5192,606,3215,4,3050,76.2
Liberty,6019,20942,29,47827,86323,2.9,2.7,91,17568,28220,2507,14751,20,14210,73.9
Limestone,1761,5287,33,12538,23519,2.8,2.8,95,5034,7729,753,3738,8,4500,76.1
Lipscomb,223,907,25,3302,3355,3.2,2.8,98,586,1027,76,818,0,420,79.7
Live Oak,710,2412,29,11531,12166,3.1,3.1,92,2504,3764,188,1799,1,1500,79.2
Llano,908,3009,30,8720,21646,3.1,3,96,3535,6178,1028,2813,17,3150,78.9
Loving,0,100,1,82,152,2.7,2.7,95,23,50,,27,0,10,79
Lubbock,27431,71874,38,31607,307412,3.1,2.9,91,63214,105184,18634,41152,251,47350,76.6
Lynn,520,1539,34,3355,5877,3,2.9,96,1385,1918,168,909,3,720,76
McCulloch,634,1711,37,2926,7987,2.7,2.7,99,1610,2507,275,1304,4,1130,77.7
McLennan,22736,60848,37,54855,254607,3,2.9,91,51644,81512,13384,37306,187,44960,78.1
McMullen,58,174,33,707,749,2.7,2.7,100,136,226,15,119,0,40,79
Madison,809,2960,27,9210,14422,3.1,2.7,98,2807,4831,414,2078,3,2440,75.2
Marion,414,1825,23,10546,9928,2.9,3,97,1968,3221,400,1408,0,2290,73.5
Martin,371,1754,21,4799,5753,2.9,2.7,100,1079,1807,161,1119,2,460,74.1
Mason,334,870,38,4012,4280,3.8,3,98,725,1242,257,842,0,570,80.6
Matagorda,3487,9524,37,13366,36552,3,2.8,93,8582,12105,1952,6609,14,6200,75.6
Maverick,6014,18334,33,5022,58485,3,2.7,92,20567,19510,2070,13501,15,5740,78.5
Medina,3549,11446,31,28319,50921,3.2,3,95,10335,15135,1348,6717,14,4440,79.2
Menard,63,304,21,2242,2139,2.7,2.7,95,392,616,48,375,1,270,71.9
Midland,13849,45889,30,16824,172578,2.8,2.7,89,28787,54293,5498,29225,59,16420,78.8
Milam,2218,6000,37,13909,25131,2.9,2.8,95,5013,7963,803,4003,2,4120,76.5
Mills,342,1040,33,4936,4921,2.7,2.7,63,858,1487,193,903,2,690,77.4
Mitchell,564,1592,35,3455,8145,2.7,2.7,94,1456,2571,164,1184,4,1080,74.8
Montague,1113,4419,25,11623,19596,2.9,2.7,98,3274,5920,705,3570,6,3270,75.1
Montgomery,34093,146797,23,103571,590925,3.4,3.1,93,88737,188136,20379,85425,354,73710,79.7
Moore,1690,6791,25,3683,21485,2.9,2.7,99,4820,6872,462,5428,10,2480,78
Morris,771,2841,27,10143,12339,3.1,2.9,92,2235,4108,455,1635,2,2770,73.5
Motley,139,310,45,1210,1234,2.7,2.7,80,218,365,23,190,0,170,79
Nacogdoches,5184,15222,34,29978,65711,2.9,2.7,91,14360,20981,3576,11728,46,14130,77.4
Navarro,4343,12525,35,25136,49565,2.8,2.6,95,10456,16130,1835,8975,22,8270,75.7
Newton,1275,2879,44,14445,13746,2.9,2.7,93,2324,4572,271,1830,0,3050,76.4
Nolan,1177,3834,31,4969,14751,3.3,3.1,93,3108,4554,444,2124,4,2150,75.5
Nueces,35136,88744,40,21935,362265,3.1,2.8,90,84503,118163,17445,57906,299,41660,78.4
Ochiltree,584,3271,18,1422,9947,3.1,2.9,97,2076,3222,359,2557,4,1030,77.3
Oldham,39,270,14,2052,2131,3.4,3.2,97,348,666,46,251,0,300,79.7
Orange,7067,20595,34,28783,83572,2.9,2.8,91,14142,27961,2794,10811,18,15950,74
Palo Pinto,2512,6520,39,14116,28875,2.9,2.6,96,5460,9102,1602,5017,12,4690,75.9
Panola,1806,5398,33,17304,23148,3,2.8,95,4149,7146,735,3474,8,4510,75
Parker,6553,32090,20,65578,138371,3.2,3.1,96,19091,40432,4385,17264,59,17560,78.4
Parmer,789,2864,28,6163,9864,2.7,2.6,98,2363,3192,245,2414,2,910,78.7
Pecos,774,3861,20,6168,15673,3.2,2.8,70,3506,5158,260,2645,7,1290,78
Polk,4270,9762,44,35258,50031,2.8,2.9,96,9991,16181,1881,8075,29,8880,73.3
Potter,12254,33043,37,10892,119648,3.2,2.9,90,28948,40407,6515,23333,90,20070,74.3
Presidio,903,1934,47,3164,6948,2.7,2.6,92,2411,2232,222,1590,2,970,89.2
Rains,700,2303,30,10175,12159,3.3,3,91,1945,3546,405,2011,2,1810,76.4
Randall,7956,31549,25,17355,136271,3.5,3.1,96,20089,43368,4299,14914,80,17490,79
Reagan,320,1112,29,448,3741,2.7,2.8,88,928,1225,93,767,2,320,77
Real,382,668,57,3309,3478,2.5,2.5,74,735,1038,121,538,1,580,75.6
Red River,817,2455,33,9739,12175,2.9,2.9,98,2599,3648,513,1802,2,2480,75.1
Reeves,753,3330,23,1998,15695,2.8,2.7,92,3891,5265,282,2302,6,1040,78.2
Refugio,631,1699,37,4480,7032,2.8,2.7,97,1523,2217,287,1023,2,940,76.9
Roberts,69,241,29,929,903,2.7,2.7,100,118,263,14,94,0,120,79
Robertson,1260,4054,31,12276,17284,2.7,2.7,94,3280,5777,678,2571,1,2930,75.8
Rockwall,4274,25604,17,12562,100657,3.5,3.2,97,13583,30384,3378,11401,76,10770,80.9
Runnels,822,2357,35,4280,10234,2.9,2.6,96,2136,3230,333,1689,7,1420,77.5
Rusk,3574,12140,29,35130,54450,3.1,2.9,95,11585,16246,1676,8086,11,9620,76.8
Sabine,526,1956,27,10834,10589,2.8,2.7,95,2038,3275,584,1547,2,2210,74.5
San Augustine,628,1668,38,8865,8232,2.5,2.4,96,1694,2800,302,1146,2,1970,73.7
San Jacinto,1643,5950,28,26384,28719,2.6,2.4,91,5677,9355,808,5088,3,5010,76.5
San Patricio,6746,18048,37,12734,66893,2.9,2.7,93,15380,21403,2331,10748,18,8280,76.2
San Saba,280,1149,24,3026,6054,3.3,2.9,99,1291,1892,223,1168,2,870,77.5
Schleicher,85,842,10,3461,2895,3.4,3,100,530,878,84,626,0,260,78.2
Scurry,1157,4287,27,5364,16866,2.8,2.7,90,3338,5194,341,2383,9,2130,77.2
Shackelford,273,775,35,3378,3253,3.2,3,100,537,970,119,549,1,540,81.9
Shelby,2375,6832,35,20214,25418,2.9,2.7,93,5589,8774,869,5150,5,5280,75.1
Sherman,150,710,21,3034,3079,2.7,2.7,96,572,950,62,767,0,320,80.1
Smith,16678,55040,30,66286,230221,3,2.8,92,42572,76815,9782,36912,232,40500,78.3
Somervell,686,1966,35,8490,9016,3.5,3.4,88,1611,2797,329,1415,6,1480,77.3
Starr,8849,21164,42,14453,64525,3.1,2.7,93,25092,22838,1638,16015,13,8190,79.1
Stephens,785,2109,37,3791,9433,3.1,2.8,88,1886,3016,282,1793,3,1560,76.1
Sterling,214,327,65,1143,1311,2.4,2.8,100,280,427,13,239,0,130,79
Stonewall,97,308,31,1490,1362,3.7,3.3,100,236,412,21,229,1,160,79
Sutton,320,953,34,776,3758,3.4,2.8,96,709,1141,62,671,3,310,81.4
Swisher,734,1900,39,2951,7462,2.9,2.6,92,1871,2406,237,1241,1,1140,75.8
Tarrant,177329,537120,33,23304,2084931,3.1,2.9,91,415851,723866,89430,331573,1196,316980,79.1
Taylor,11635,33190,35,21085,137640,3.1,3,90,25798,43152,5760,18841,97,22660,75.8
Terrell,38,113,34,984,823,3.1,3.1,92,206,257,29,162,0,90,79
Terry,1163,3451,34,3121,12287,2.7,2.5,96,2973,4011,387,2380,4,1460,75.5
Throckmorton,121,308,39,1641,1515,2.8,3,96,256,437,47,303,1,260,79
Titus,3067,9513,32,16347,33033,3.1,2.9,97,7530,10898,940,6988,18,4990,77.6
Tom Green,9040,27685,33,17240,118189,3,2.9,93,22709,39214,4813,17141,78,15270,77.8
Travis,78067,267115,29,55961,1248743,3.2,3,89,185748,357721,70498,158704,1043,171740,81.8
Trinity,1012,2949,34,11265,14740,3.1,2.6,94,2975,4624,524,2192,2,2800,72.7
Tyler,1112,4031,28,17006,21696,3.1,2.6,96,3701,6565,657,2546,5,4150,75.7
Upshur,2593,9757,27,31172,41260,3.1,2.8,95,6669,13014,1330,6106,12,7270,75
Upton,349,1056,33,3355,3671,2.4,2.6,93,796,1170,78,706,2,430,78.1
Uvalde,3667,7343,50,8287,26846,2.6,2.6,89,7256,8708,744,4959,12,2430,79
Val Verde,4694,14001,34,4965,49208,2.9,2.6,83,14489,15987,1576,9222,14,4580,79.1
Van Zandt,3167,12372,26,39444,56019,3,3,92,9253,17000,1867,9311,10,8690,76.4
Victoria,7842,23098,34,23110,92035,2.9,2.6,87,20212,29626,3695,14200,72,11820,78.4
Walker,2945,10681,28,30933,72480,2.7,2.6,77,15368,24752,4096,8985,20,15950,78.4
Waller,3261,12074,27,26632,53126,2.9,2.8,95,11290,18346,1902,9875,6,8770,79.4
Ward,564,3168,18,2972,11720,2.9,2.6,95,2457,3686,324,2071,3,1160,74.8
Washington,2392,7567,32,18036,35108,3.1,2.9,91,6372,10697,1465,5111,21,5850,80.2
Webb,35544,90988,39,6507,275910,3.1,2.7,93,95886,98229,12132,69387,89,25250,80.3
Wharton,3950,10755,37,20597,41619,3,2.7,96,9580,13467,1763,7477,16,6250,76.9
Wheeler,451,1404,32,5410,5191,3.3,2.7,95,987,1585,237,1068,2,910,74.5
Wichita,10852,29446,37,14027,132064,2.9,2.8,97,30214,49183,6806,17790,95,24410,75.5
Wilbarger,1360,2872,47,2963,12820,2.8,2.7,85,2693,4020,419,2245,6,2140,76
Willacy,2377,5212,46,7653,21515,2.8,2.6,88,8064,7653,574,3370,8,3070,77.7
Williamson,29694,137654,22,50679,566719,3.4,3.2,95,85533,180301,17388,54780,376,63750,82
Wilson,2834,11752,24,36850,50224,3,2.9,94,8712,15302,1340,6890,24,4530,79.5
Winkler,629,2353,27,1289,7720,2.6,2.6,99,1834,2463,203,1414,2,820,74.6
Wise,3967,15965,25,42635,68305,3,2.9,97,11310,21030,2197,12598,27,9150,76.2
Wood,3051,8458,36,31137,45129,2.9,2.9,95,7207,13220,2105,6362,21,7220,77
Yoakum,256,2827,9,2941,8591,2.6,2.6,98,1922,2704,120,1825,3,610,78.2
Young,1429,4232,34,6227,18045,3,2.9,97,3264,5280,616,3281,12,2820,74.4
Zapata,1896,4754,40,3299,14190,2.6,2.1,90,5053,4917,459,3596,1,1620,78.3
Zavala,2259,3583,63,4441,11983,2.6,2.2,92,4912,4184,327,1865,2,1730,75.8
